ID,First_Name,Last_Name,Username,Password,Fav_Album
1,Esteban,Garces,Esteban_Garces,PurpleCats472,My Beautiful Dark Twisted Fantasy
2,Tony,Soprano,Tony_Soprano,MeatballMania3413,Michael Bublé
3,Abigail,Roach,Abigail_Roach,OffTheroof3940,Live in Cook County Jail
4,Tina,Seabolt,Tina_Seabolt,figgynewman1946,Yankee Hotel Foxtrot
5,Juan,Scott,Juan_Scott,Brequir204,That's the Way of the World,
6,Frank,Palmer,Frank_Palmer,Forepainely,Voodoo
7,Cynthia,Wade,Cynthia_Wade,Greyguit@rs,Maggot Brain
8,Joyce,Myers,Joyce_Myers,berkuZun560,Life After Death
9,Donald,Bailes,Donald_Bailes,Thabould770,The Smiths
10,Lindsay,Martines,Lindsay_Martines,Brilivele089,The Score
11,Jacob,Howard,Jacob_Howard,Turnipseed75,Tunnel of Love
12,Michele,Owen,Michele_Owen,Canche9019,A Rush of Blood to the Head
13,Edward,Briggs,Edward_Briggs,Histe1994,Tumbleweed Connection
14,Lorene,Raiford,Auntithe511,How Will the Wold Survive
15,Carolyn,Lamarre,Lorene_Lamarre,Ponim1979,Back to Black
16,Michael,Berk,Michael_Berk,Twel194B,Synchronicity
17,John,Barrett,John_Barrett,Priong53,Fly Like an Eagle
18,Brian,Noack,Brian_Noack,iYeiquai2rie,The World is a Ghetto
19,Emma,Thurber,Emma_Thurber,Ieba8Ees,Q: Are We Not Men? A: We Are Devo!
20,Lona,Heath,Lona_Heath,Tund1980,Live At The Harlem Square Club 1963
21,Terrence,Young,Terrence_Young,Su8oS4ip,Tha Carter III
22,Alfredo,Crawford,Alfredo_Crawford,tugeiC0uCe,In Utero
23,William,Noonkester,William_Noonkester,aipheeKee3,All Things Must Pass
24,Vernon,Dupre,Vernon_Dupre,ahlae0eeQu7oo,Van Halen,
25,Nora,Terry,Nora_Terry,aegh7Aiqu,Time Out of Mind
26,Florence,Roche,Florence_Roche,Quaex9oy,I Do Not Want What I haven’t Got
27,Ronald,Clark,Ronald_Clark,Ohsh4coo,Radio City
28,William,Rhodes,William_Rhodes,miek3shiL,(Pronounced Leh-Nerd Skin-Nerd)
29,Leona,Giron,Leona_Giron,jah0Iugei6z,Illmatic
30,Rory,Moore,Rory_Moore,Sheeh4Uoxe,Pretzel Logic
31,Kimberly,Gregory,Kimberly_Gregory,chei2aitai6Fo,Kala
32,Rosetta,Hyler,Rosetta_Hyler,TeF1ieghon7,Let It Be
33,John,Cote,John_Cote,oht5ooQu8,Elephant
34,Christopher,Smith,Christopher_Smith,ohjoh7Ui,Enter the Wu-Tang: 36 Chambers
35,Keven,Cowen,Keven_Cowen,Hied1955,Funky Kingston
36,Julie,Tourville,Julie_Tourville,apeiR6ahz,Post
